Index,TotalGain,LNA,TIA,PGA,ATTN,LNA1,LNA2,EVM_PCT,EVM_SNR
0,3,0,0,-12,-18,33,0,187.0,-670.6666666666666
1,4,0,0,-11,-18,33,0,-999.0,-999.0
2,5,0,0,-10,-18,33,0,-434.3333333333333,-668.6666666666666
3,6,0,0,-9,-18,33,0,-121.66666666666667,-670.0
4,7,0,0,-8,-18,33,0,-484.0,-668.3333333333334
5,8,0,0,-7,-18,33,0,-396.6666666666667,-669.0
6,9,0,0,-6,-18,33,0,858.6666666666666,-341.0
7,10,0,0,-5,-18,33,0,-433.6666666666667,-668.6666666666666
8,11,0,0,-4,-18,33,0,-428.0,-668.6666666666666
9,12,0,0,-3,-18,33,0,-433.6666666666667,-668.6666666666666
10,13,0,0,-2,-18,33,0,605.3333333333334,-7.333333333333333
11,14,0,0,-1,-18,33,0,14.333333333333334,-337.6666666666667
12,15,0,0,0,-18,33,0,52.666666666666664,-337.6666666666667
13,16,0,0,1,-18,33,0,-469.6666666666667,-668.3333333333334
14,17,0,0,2,-18,33,0,4286.666666666667,-343.0
15,18,0,0,3,-18,33,0,661.6666666666666,-7.666666666666667
16,19,0,0,4,-18,33,0,587.3333333333334,-7.0
17,20,0,0,5,-18,33,0,536.6666666666666,-7.0
18,21,0,0,6,-18,33,0,488.3333333333333,-6.333333333333333
19,22,0,0,7,-18,33,0,794.0,-8.0
20,23,0,0,8,-18,33,0,617.0,-7.333333333333333
21,24,0,0,9,-18,33,0,585.0,-7.0
22,25,0,0,10,-18,33,0,572.6666666666666,-7.0
23,26,0,0,11,-18,33,0,-420.6666666666667,-668.6666666666666
24,27,0,0,12,-18,33,0,587.6666666666666,-7.0
25,28,0,0,13,-18,33,0,538.6666666666666,-6.666666666666667
26,29,0,0,14,-18,33,0,699.6666666666666,-7.666666666666667
27,30,0,0,15,-18,33,0,449.6666666666667,-5.666666666666667
28,31,0,0,16,-18,33,0,380.3333333333333,-5.333333333333333
29,32,0,0,17,-18,33,0,324.0,-4.666666666666667
30,33,0,0,18,-18,33,0,605.3333333333334,-7.0
31,34,0,0,19,-18,33,0,161.0,-338.3333333333333
32,12,0,9,-12,-18,33,0,-999.0,-999.0
33,13,0,9,-11,-18,33,0,-999.0,-999.0
34,14,0,9,-10,-18,33,0,237.33333333333334,-338.6666666666667
35,15,0,9,-9,-18,33,0,247.0,-338.6666666666667
36,16,0,9,-8,-18,33,0,1143.0,-9.0
37,17,0,9,-7,-18,33,0,-999.0,-999.0
38,18,0,9,-6,-18,33,0,-467.6666666666667,-668.3333333333334
39,19,0,9,-5,-18,33,0,570.0,-7.0
40,20,0,9,-4,-18,33,0,4392.0,-342.0
41,21,0,9,-3,-18,33,0,753.3333333333334,-8.0
42,22,0,9,-2,-18,33,0,609.6666666666666,-339.0
43,23,0,9,-1,-18,33,0,960.3333333333334,-7.666666666666667
44,24,0,9,0,-18,33,0,941.6666666666666,-9.333333333333334
45,25,0,9,1,-18,33,0,566.0,-7.0
46,26,0,9,2,-18,33,0,199.66666666666666,-338.3333333333333
47,27,0,9,3,-18,33,0,738.6666666666666,-8.0
48,28,0,9,4,-18,33,0,905.0,-8.333333333333334
49,29,0,9,5,-18,33,0,1079.3333333333333,-7.666666666666667
50,30,0,9,6,-18,33,0,-92.0,-336.3333333333333
51,31,0,9,7,-18,33,0,-145.0,-335.6666666666667
52,32,0,9,8,-18,33,0,41.333333333333336,-337.6666666666667
53,33,0,9,9,-18,33,0,342.6666666666667,-4.666666666666667
54,34,0,9,10,-18,33,0,421.6666666666667,-5.666666666666667
55,35,0,9,11,-18,33,0,624.3333333333334,-6.666666666666667
56,36,0,9,12,-18,33,0,545.3333333333334,-6.666666666666667
57,37,0,9,13,-18,33,0,370.3333333333333,-5.0
58,38,0,9,14,-18,33,0,252.66666666666666,-3.6666666666666665
59,39,0,9,15,-18,33,0,539.0,-6.0
60,40,0,9,16,-18,33,0,1261.3333333333333,-8.333333333333334
61,41,0,9,17,-18,33,0,1232.0,-7.333333333333333
62,42,0,9,18,-18,33,0,438.6666666666667,-6.0
63,43,0,9,19,-18,33,0,595.3333333333334,-6.666666666666667
64,15,0,12,-12,-18,33,0,1561.6666666666667,-10.0
65,16,0,12,-11,-18,33,0,934.0,-9.0
66,17,0,12,-10,-18,33,0,199.0,-338.6666666666667
67,18,0,12,-9,-18,33,0,153.66666666666666,-338.3333333333333
68,19,0,12,-8,-18,33,0,710.6666666666666,-7.666666666666667
69,20,0,12,-7,-18,33,0,2286.3333333333335,-341.0
70,21,0,12,-6,-18,33,0,245.33333333333334,-339.0
71,22,0,12,-5,-18,33,0,326.6666666666667,-338.6666666666667
72,23,0,12,-4,-18,33,0,1312.0,-9.333333333333334
73,24,0,12,-3,-18,33,0,711.0,-7.666666666666667
74,25,0,12,-2,-18,33,0,722.3333333333334,-7.666666666666667
75,26,0,12,-1,-18,33,0,-9.666666666666666,-337.3333333333333
76,27,0,12,0,-18,33,0,3.6666666666666665,-337.3333333333333
77,28,0,12,1,-18,33,0,639.3333333333334,-7.666666666666667
78,29,0,12,2,-18,33,0,366.3333333333333,-5.0
79,30,0,12,3,-18,33,0,426.0,-5.0
80,31,0,12,4,-18,33,0,574.0,-7.333333333333333
81,32,0,12,5,-18,33,0,438.0,-5.666666666666667
82,33,0,12,6,-18,33,0,316.0,-4.666666666666667
83,34,0,12,7,-18,33,0,287.6666666666667,-3.3333333333333335
84,35,0,12,8,-18,33,0,326.3333333333333,-4.666666666666667
85,36,0,12,9,-18,33,0,704.0,-7.0
86,37,0,12,10,-18,33,0,344.3333333333333,-4.666666666666667
87,38,0,12,11,-18,33,0,373.6666666666667,-4.666666666666667
88,39,0,12,12,-18,33,0,399.0,-5.0
89,40,0,12,13,-18,33,0,506.6666666666667,-6.333333333333333
90,41,0,12,14,-18,33,0,979.0,-6.333333333333333
91,42,0,12,15,-18,33,0,277.3333333333333,-3.6666666666666665
92,43,0,12,16,-18,33,0,824.0,-6.666666666666667
93,44,0,12,17,-18,33,0,215.33333333333334,-3.0
94,45,0,12,18,-18,33,0,374.6666666666667,-5.0
95,46,0,12,19,-18,33,0,216.0,-3.0
96,6,3,0,-12,-18,33,0,1407.3333333333333,-10.666666666666666
97,7,3,0,-11,-18,33,0,-380.3333333333333,-669.0
98,8,3,0,-10,-18,33,0,-444.6666666666667,-668.6666666666666
99,9,3,0,-9,-18,33,0,-999.0,-999.0
100,10,3,0,-8,-18,33,0,-416.6666666666667,-668.6666666666666
101,11,3,0,-7,-18,33,0,-231.33333333333334,-669.6666666666666
102,12,3,0,-6,-18,33,0,1097.3333333333333,-10.0
103,13,3,0,-5,-18,33,0,59.333333333333336,-337.6666666666667
104,14,3,0,-4,-18,33,0,712.3333333333334,-7.333333333333333
105,15,3,0,-3,-18,33,0,11.666666666666666,-337.3333333333333
106,16,3,0,-2,-18,33,0,1200.3333333333333,-10.0
107,17,3,0,-1,-18,33,0,91.66666666666667,-337.6666666666667
108,18,3,0,0,-18,33,0,319.0,-339.0
109,19,3,0,1,-18,33,0,525.3333333333334,-6.333333333333333
110,20,3,0,2,-18,33,0,1442.6666666666667,-10.333333333333334
111,21,3,0,3,-18,33,0,-64.33333333333333,-337.0
112,22,3,0,4,-18,33,0,416.6666666666667,-5.333333333333333
113,23,3,0,5,-18,33,0,463.0,-5.666666666666667
114,24,3,0,6,-18,33,0,452.3333333333333,-6.0
