Index,TotalGain,LNA,TIA,PGA,ATTN,LNA1,LNA2,EVM_PCT,EVM_SNR
0,3,0,0,-12,-18,33,0,145.33333333333334,-1.0
1,4,0,0,-11,-18,33,0,105.0,-0.3333333333333333
2,5,0,0,-10,-18,33,0,78.66666666666667,0.6666666666666666
3,6,0,0,-9,-18,33,0,76.66666666666667,0.6666666666666666
4,7,0,0,-8,-18,33,0,49.666666666666664,2.6666666666666665
5,8,0,0,-7,-18,33,0,38.666666666666664,4.0
6,9,0,0,-6,-18,33,0,34.666666666666664,4.0
7,10,0,0,-5,-18,33,0,27.0,5.0
8,11,0,0,-4,-18,33,0,21.0,6.0
9,12,0,0,-3,-18,33,0,22.666666666666668,6.0
10,13,0,0,-2,-18,33,0,19.0,6.333333333333333
11,14,0,0,-1,-18,33,0,17.333333333333332,7.333333333333333
12,15,0,0,0,-18,33,0,14.333333333333334,7.666666666666667
13,16,0,0,1,-18,33,0,11.666666666666666,9.0
14,17,0,0,2,-18,33,0,13.0,8.333333333333334
15,18,0,0,3,-18,33,0,11.0,8.666666666666666
16,19,0,0,4,-18,33,0,9.333333333333334,9.666666666666666
17,20,0,0,5,-18,33,0,10.666666666666666,9.333333333333334
18,21,0,0,6,-18,33,0,9.0,9.666666666666666
19,22,0,0,7,-18,33,0,9.666666666666666,9.666666666666666
20,23,0,0,8,-18,33,0,9.333333333333334,9.666666666666666
21,24,0,0,9,-18,33,0,8.666666666666666,9.666666666666666
22,25,0,0,10,-18,33,0,7.666666666666667,10.333333333333334
23,26,0,0,11,-18,33,0,7.666666666666667,10.666666666666666
24,27,0,0,12,-18,33,0,7.666666666666667,10.666666666666666
25,28,0,0,13,-18,33,0,8.0,10.333333333333334
26,29,0,0,14,-18,33,0,6.333333333333333,11.0
27,30,0,0,15,-18,33,0,6.666666666666667,10.666666666666666
28,31,0,0,16,-18,33,0,7.333333333333333,10.666666666666666
29,32,0,0,17,-18,33,0,7.0,10.666666666666666
30,33,0,0,18,-18,33,0,6.333333333333333,11.0
31,34,0,0,19,-18,33,0,7.666666666666667,10.0
32,12,0,9,-12,-18,33,0,71.33333333333333,1.3333333333333333
33,13,0,9,-11,-18,33,0,49.333333333333336,2.3333333333333335
34,14,0,9,-10,-18,33,0,33.666666666666664,4.0
35,15,0,9,-9,-18,33,0,35.666666666666664,4.0
36,16,0,9,-8,-18,33,0,30.333333333333332,4.666666666666667
37,17,0,9,-7,-18,33,0,23.666666666666668,6.0
38,18,0,9,-6,-18,33,0,20.333333333333332,6.333333333333333
39,19,0,9,-5,-18,33,0,15.333333333333334,7.666666666666667
40,20,0,9,-4,-18,33,0,15.333333333333334,7.666666666666667
41,21,0,9,-3,-18,33,0,13.0,8.333333333333334
42,22,0,9,-2,-18,33,0,11.333333333333334,8.666666666666666
43,23,0,9,-1,-18,33,0,10.0,9.333333333333334
44,24,0,9,0,-18,33,0,8.333333333333334,10.0
45,25,0,9,1,-18,33,0,8.0,10.333333333333334
46,26,0,9,2,-18,33,0,8.666666666666666,10.0
47,27,0,9,3,-18,33,0,-327.6666666666667,-326.0
48,28,0,9,4,-18,33,0,7.0,10.666666666666666
49,29,0,9,5,-18,33,0,5.333333333333333,11.666666666666666
50,30,0,9,6,-18,33,0,6.666666666666667,11.0
51,31,0,9,7,-18,33,0,6.333333333333333,11.333333333333334
52,32,0,9,8,-18,33,0,6.333333333333333,11.333333333333334
53,33,0,9,9,-18,33,0,5.666666666666667,11.666666666666666
54,34,0,9,10,-18,33,0,5.333333333333333,12.0
55,35,0,9,11,-18,33,0,7.0,11.0
56,36,0,9,12,-18,33,0,6.333333333333333,11.0
57,37,0,9,13,-18,33,0,6.0,11.333333333333334
58,38,0,9,14,-18,33,0,6.333333333333333,11.333333333333334
59,39,0,9,15,-18,33,0,6.333333333333333,11.333333333333334
60,40,0,9,16,-18,33,0,5.666666666666667,11.666666666666666
61,41,0,9,17,-18,33,0,4.666666666666667,12.333333333333334
62,42,0,9,18,-18,33,0,-330.0,-324.6666666666667
63,43,0,9,19,-18,33,0,5.0,12.0
64,15,0,12,-12,-18,33,0,26.666666666666668,5.0
65,16,0,12,-11,-18,33,0,38.333333333333336,3.6666666666666665
66,17,0,12,-10,-18,33,0,20.666666666666668,6.333333333333333
67,18,0,12,-9,-18,33,0,17.0,7.0
68,19,0,12,-8,-18,33,0,16.333333333333332,7.333333333333333
69,20,0,12,-7,-18,33,0,13.666666666666666,8.0
70,21,0,12,-6,-18,33,0,11.666666666666666,8.666666666666666
71,22,0,12,-5,-18,33,0,10.0,9.333333333333334
72,23,0,12,-4,-18,33,0,9.333333333333334,9.666666666666666
73,24,0,12,-3,-18,33,0,9.0,9.666666666666666
74,25,0,12,-2,-18,33,0,6.333333333333333,11.0
75,26,0,12,-1,-18,33,0,7.333333333333333,10.333333333333334
76,27,0,12,0,-18,33,0,7.666666666666667,10.333333333333334
77,28,0,12,1,-18,33,0,5.666666666666667,11.666666666666666
78,29,0,12,2,-18,33,0,5.666666666666667,11.666666666666666
79,30,0,12,3,-18,33,0,5.666666666666667,11.666666666666666
80,31,0,12,4,-18,33,0,4.666666666666667,12.333333333333334
81,32,0,12,5,-18,33,0,5.0,12.333333333333334
82,33,0,12,6,-18,33,0,4.666666666666667,12.333333333333334
83,34,0,12,7,-18,33,0,6.0,11.333333333333334
84,35,0,12,8,-18,33,0,4.666666666666667,12.333333333333334
85,36,0,12,9,-18,33,0,4.333333333333333,12.666666666666666
86,37,0,12,10,-18,33,0,4.333333333333333,12.666666666666666
87,38,0,12,11,-18,33,0,4.0,13.0
88,39,0,12,12,-18,33,0,5.0,12.0
89,40,0,12,13,-18,33,0,-329.6666666666667,-325.0
90,41,0,12,14,-18,33,0,5.0,12.0
91,42,0,12,15,-18,33,0,5.0,12.0
92,43,0,12,16,-18,33,0,4.333333333333333,12.666666666666666
93,44,0,12,17,-18,33,0,6.666666666666667,11.333333333333334
94,45,0,12,18,-18,33,0,5.0,12.0
95,46,0,12,19,-18,33,0,4.666666666666667,12.333333333333334
96,6,3,0,-12,-18,33,0,122.0,0.0
97,7,3,0,-11,-18,33,0,52.0,2.6666666666666665
98,8,3,0,-10,-18,33,0,40.0,3.6666666666666665
99,9,3,0,-9,-18,33,0,35.0,4.0
100,10,3,0,-8,-18,33,0,26.666666666666668,5.0
101,11,3,0,-7,-18,33,0,37.0,4.333333333333333
102,12,3,0,-6,-18,33,0,27.666666666666668,5.0
103,13,3,0,-5,-18,33,0,15.666666666666666,7.333333333333333
