Index,TotalGain,LNA,TIA,PGA,ATTN,LNA1,LNA2,EVM_PCT,EVM_SNR
0,3,0,0,-12,-18,33,0,-999.0,-999.0
1,4,0,0,-11,-18,33,0,-999.0,-999.0
2,5,0,0,-10,-18,33,0,-999.0,-999.0
3,6,0,0,-9,-18,33,0,-308.6666666666667,-669.3333333333334
4,7,0,0,-8,-18,33,0,75.66666666666667,-670.3333333333334
5,8,0,0,-7,-18,33,0,-999.0,-999.0
6,9,0,0,-6,-18,33,0,-448.0,-668.6666666666666
7,10,0,0,-5,-18,33,0,-999.0,-999.0
8,11,0,0,-4,-18,33,0,982.6666666666666,-341.3333333333333
9,12,0,0,-3,-18,33,0,-999.0,-999.0
10,13,0,0,-2,-18,33,0,-28.666666666666668,-337.0
11,14,0,0,-1,-18,33,0,556.6666666666666,-671.0
12,15,0,0,0,-18,33,0,829.6666666666666,-671.3333333333334
13,16,0,0,1,-18,33,0,766.6666666666666,-671.3333333333334
14,17,0,0,2,-18,33,0,635.0,-7.333333333333333
15,18,0,0,3,-18,33,0,945.6666666666666,-340.3333333333333
16,19,0,0,4,-18,33,0,-500.6666666666667,-668.0
17,20,0,0,5,-18,33,0,130.33333333333334,-338.0
18,21,0,0,6,-18,33,0,734.0,-7.666666666666667
19,22,0,0,7,-18,33,0,377.6666666666667,-339.0
20,23,0,0,8,-18,33,0,855.0,-8.666666666666666
21,24,0,0,9,-18,33,0,56.0,-337.6666666666667
22,25,0,0,10,-18,33,0,120.66666666666667,-338.0
23,26,0,0,11,-18,33,0,-2.3333333333333335,-337.0
24,27,0,0,12,-18,33,0,300.6666666666667,-339.0
25,28,0,0,13,-18,33,0,58.333333333333336,-337.6666666666667
26,29,0,0,14,-18,33,0,-152.66666666666666,-669.6666666666666
27,30,0,0,15,-18,33,0,-43.0,-670.0
28,31,0,0,16,-18,33,0,52.333333333333336,-337.6666666666667
29,32,0,0,17,-18,33,0,705.0,-8.0
30,33,0,0,18,-18,33,0,2730.3333333333335,-10.0
31,34,0,0,19,-18,33,0,275.3333333333333,-339.3333333333333
32,12,0,9,-12,-18,33,0,-999.0,-999.0
33,13,0,9,-11,-18,33,0,213.66666666666666,-338.6666666666667
34,14,0,9,-10,-18,33,0,-999.0,-999.0
35,15,0,9,-9,-18,33,0,-417.0,-668.6666666666666
36,16,0,9,-8,-18,33,0,-291.3333333333333,-669.3333333333334
37,17,0,9,-7,-18,33,0,-333.3333333333333,-669.0
38,18,0,9,-6,-18,33,0,123.66666666666667,-337.6666666666667
39,19,0,9,-5,-18,33,0,493.6666666666667,-340.0
40,20,0,9,-4,-18,33,0,1424.6666666666667,-341.3333333333333
41,21,0,9,-3,-18,33,0,-310.6666666666667,-669.3333333333334
42,22,0,9,-2,-18,33,0,5869.666666666667,-13.0
43,23,0,9,-1,-18,33,0,-409.0,-668.6666666666666
44,24,0,9,0,-18,33,0,-517.3333333333334,-668.0
