Index,TotalGain,LNA,TIA,PGA,ATTN,LNA1,LNA2,EVM_PCT,EVM_SNR
0,3,0,0,-12,-18,33,0,-210.0,-669.6666666666666
1,4,0,0,-11,-18,33,0,-999.0,-999.0
2,5,0,0,-10,-18,33,0,-999.0,-999.0
3,6,0,0,-9,-18,33,0,-234.66666666666666,-669.6666666666666
4,7,0,0,-8,-18,33,0,-392.3333333333333,-669.0
5,8,0,0,-7,-18,33,0,-999.0,-999.0
6,9,0,0,-6,-18,33,0,497.6666666666667,-339.3333333333333
7,10,0,0,-5,-18,33,0,-999.0,-999.0
8,11,0,0,-4,-18,33,0,-466.6666666666667,-668.3333333333334
9,12,0,0,-3,-18,33,0,-332.6666666666667,-669.3333333333334
10,13,0,0,-2,-18,33,0,-432.6666666666667,-668.6666666666666
11,14,0,0,-1,-18,33,0,928.0,-8.666666666666666
12,15,0,0,0,-18,33,0,773.3333333333334,-8.0
13,16,0,0,1,-18,33,0,251.0,-338.6666666666667
14,17,0,0,2,-18,33,0,650.6666666666666,-7.666666666666667
15,18,0,0,3,-18,33,0,669.6666666666666,-7.666666666666667
16,19,0,0,4,-18,33,0,82.0,-338.0
17,20,0,0,5,-18,33,0,5042.0,-13.0
18,21,0,0,6,-18,33,0,158.66666666666666,-338.3333333333333
19,22,0,0,7,-18,33,0,-384.6666666666667,-669.0
20,23,0,0,8,-18,33,0,818.3333333333334,-8.333333333333334
21,24,0,0,9,-18,33,0,-61.333333333333336,-336.6666666666667
22,25,0,0,10,-18,33,0,-288.3333333333333,-669.3333333333334
23,26,0,0,11,-18,33,0,-22.666666666666668,-337.0
24,27,0,0,12,-18,33,0,8.666666666666666,-337.6666666666667
25,28,0,0,13,-18,33,0,832.6666666666666,-8.333333333333334
26,29,0,0,14,-18,33,0,71.0,-338.0
27,30,0,0,15,-18,33,0,495.6666666666667,-340.0
28,31,0,0,16,-18,33,0,480.0,-6.333333333333333
29,32,0,0,17,-18,33,0,619.0,-7.0
30,33,0,0,18,-18,33,0,714.3333333333334,-7.333333333333333
31,34,0,0,19,-18,33,0,-304.3333333333333,-669.3333333333334
32,12,0,9,-12,-18,33,0,-999.0,-999.0
33,13,0,9,-11,-18,33,0,-999.0,-999.0
34,14,0,9,-10,-18,33,0,1194.3333333333333,-341.3333333333333
35,15,0,9,-9,-18,33,0,205.0,-338.6666666666667
36,16,0,9,-8,-18,33,0,-319.6666666666667,-669.3333333333334
37,17,0,9,-7,-18,33,0,-999.0,-999.0
38,18,0,9,-6,-18,33,0,1328.3333333333333,-10.0
39,19,0,9,-5,-18,33,0,718.3333333333334,-340.6666666666667
40,20,0,9,-4,-18,33,0,-7.333333333333333,-337.0
41,21,0,9,-3,-18,33,0,514.3333333333334,-6.666666666666667
42,22,0,9,-2,-18,33,0,743.0,-340.6666666666667
43,23,0,9,-1,-18,33,0,-510.3333333333333,-668.0
44,24,0,9,0,-18,33,0,855.0,-8.333333333333334
45,25,0,9,1,-18,33,0,936.0,-8.666666666666666
46,26,0,9,2,-18,33,0,411.0,-5.666666666666667
47,27,0,9,3,-18,33,0,9708.0,-14.0
48,28,0,9,4,-18,33,0,77.0,-337.3333333333333
49,29,0,9,5,-18,33,0,433.6666666666667,-5.666666666666667
50,30,0,9,6,-18,33,0,6469.666666666667,-11.333333333333334
51,31,0,9,7,-18,33,0,-4.0,-337.3333333333333
52,32,0,9,8,-18,33,0,-492.6666666666667,-668.3333333333334
53,33,0,9,9,-18,33,0,494.6666666666667,-6.333333333333333
54,34,0,9,10,-18,33,0,1107.0,-7.666666666666667
55,35,0,9,11,-18,33,0,618.6666666666666,-6.666666666666667
