Index,TotalGain,LNA,TIA,PGA,ATTN,LNA1,LNA2,EVM_PCT,EVM_SNR
0,3,0,0,-12,-18,33,0,-99.66666666666667,-670.0
1,4,0,0,-11,-18,33,0,745.3333333333334,-8.333333333333334
2,5,0,0,-10,-18,33,0,1008.6666666666666,-9.333333333333334
3,6,0,0,-9,-18,33,0,753.0,-8.0
4,7,0,0,-8,-18,33,0,403.0,-339.3333333333333
5,8,0,0,-7,-18,33,0,-999.0,-999.0
6,9,0,0,-6,-18,33,0,679.3333333333334,-7.666666666666667
7,10,0,0,-5,-18,33,0,587.3333333333334,-6.666666666666667
8,11,0,0,-4,-18,33,0,478.6666666666667,-6.333333333333333
9,12,0,0,-3,-18,33,0,380.3333333333333,-5.333333333333333
10,13,0,0,-2,-18,33,0,379.0,-5.333333333333333
11,14,0,0,-1,-18,33,0,-67.66666666666667,-336.3333333333333
12,15,0,0,0,-18,33,0,618.0,-6.666666666666667
13,16,0,0,1,-18,33,0,395.6666666666667,-5.333333333333333
14,17,0,0,2,-18,33,0,317.0,-4.666666666666667
15,18,0,0,3,-18,33,0,1619.0,-7.333333333333333
16,19,0,0,4,-18,33,0,221.66666666666666,-2.6666666666666665
17,20,0,0,5,-18,33,0,181.0,-2.0
18,21,0,0,6,-18,33,0,146.33333333333334,-1.0
19,22,0,0,7,-18,33,0,152.0,-1.3333333333333333
20,23,0,0,8,-18,33,0,121.0,-0.3333333333333333
21,24,0,0,9,-18,33,0,134.66666666666666,-1.0
22,25,0,0,10,-18,33,0,371.3333333333333,-4.666666666666667
23,26,0,0,11,-18,33,0,197.33333333333334,-1.6666666666666667
24,27,0,0,12,-18,33,0,236.33333333333334,-2.3333333333333335
25,28,0,0,13,-18,33,0,550.6666666666666,-4.333333333333333
26,29,0,0,14,-18,33,0,143.33333333333334,-1.0
27,30,0,0,15,-18,33,0,146.66666666666666,-1.3333333333333333
28,31,0,0,16,-18,33,0,118.0,-0.6666666666666666
29,32,0,0,17,-18,33,0,112.0,-0.3333333333333333
30,33,0,0,18,-18,33,0,98.66666666666667,0.0
31,34,0,0,19,-18,33,0,139.66666666666666,-1.3333333333333333
32,12,0,9,-12,-18,33,0,83.0,-337.6666666666667
33,13,0,9,-11,-18,33,0,35.333333333333336,-337.3333333333333
34,14,0,9,-10,-18,33,0,4029.3333333333335,-342.3333333333333
35,15,0,9,-9,-18,33,0,1763.6666666666667,-11.666666666666666
36,16,0,9,-8,-18,33,0,485.0,-6.333333333333333
37,17,0,9,-7,-18,33,0,339.6666666666667,-4.666666666666667
38,18,0,9,-6,-18,33,0,374.0,-4.666666666666667
39,19,0,9,-5,-18,33,0,287.0,-4.0
40,20,0,9,-4,-18,33,0,211.66666666666666,-2.6666666666666665
41,21,0,9,-3,-18,33,0,499.0,-6.0
42,22,0,9,-2,-18,33,0,203.0,-2.3333333333333335
43,23,0,9,-1,-18,33,0,225.33333333333334,-3.0
