Index,TotalGain,LNA,TIA,PGA,ATTN,LNA1,LNA2,EVM_PCT,EVM_SNR
0,3,0,0,-12,-18,33,0,4.0,13.0
1,4,0,0,-11,-18,33,0,-331.0,-323.6666666666667
2,5,0,0,-10,-18,33,0,3.0,14.333333333333334
3,6,0,0,-9,-18,33,0,3.0,15.0
4,7,0,0,-8,-18,33,0,-331.3333333333333,-323.3333333333333
5,8,0,0,-7,-18,33,0,2.0,15.333333333333334
6,9,0,0,-6,-18,33,0,2.0,15.666666666666666
7,10,0,0,-5,-18,33,0,2.3333333333333335,15.333333333333334
8,11,0,0,-4,-18,33,0,2.3333333333333335,15.0
9,12,0,0,-3,-18,33,0,1.6666666666666667,16.333333333333332
10,13,0,0,-2,-18,33,0,1.6666666666666667,16.333333333333332
11,14,0,0,-1,-18,33,0,1.6666666666666667,16.333333333333332
12,15,0,0,0,-18,33,0,1.3333333333333333,16.666666666666668
13,16,0,0,1,-18,33,0,1.3333333333333333,16.666666666666668
14,17,0,0,2,-18,33,0,1.0,17.0
15,18,0,0,3,-18,33,0,2.0,16.0
16,19,0,0,4,-18,33,0,1.6666666666666667,15.666666666666666
17,20,0,0,5,-18,33,0,1.3333333333333333,16.666666666666668
18,21,0,0,6,-18,33,0,1.6666666666666667,16.333333333333332
19,22,0,0,7,-18,33,0,1.3333333333333333,16.666666666666668
20,23,0,0,8,-18,33,0,1.0,17.333333333333332
21,24,0,0,9,-18,33,0,1.3333333333333333,17.333333333333332
22,25,0,0,10,-18,33,0,1.6666666666666667,16.333333333333332
23,26,0,0,11,-18,33,0,-332.0,-322.0
24,27,0,0,12,-18,33,0,1.3333333333333333,17.0
25,28,0,0,13,-18,33,0,1.0,17.333333333333332
26,29,0,0,14,-18,33,0,1.6666666666666667,16.666666666666668
27,30,0,0,15,-18,33,0,1.3333333333333333,17.0
28,31,0,0,16,-18,33,0,1.3333333333333333,17.0
29,32,0,0,17,-18,33,0,1.3333333333333333,17.333333333333332
30,33,0,0,18,-18,33,0,1.0,17.666666666666668
31,34,0,0,19,-18,33,0,1.3333333333333333,17.0
32,12,0,9,-12,-18,33,0,3.0,14.333333333333334
33,13,0,9,-11,-18,33,0,2.6666666666666665,15.0
34,14,0,9,-10,-18,33,0,2.3333333333333335,15.0
35,15,0,9,-9,-18,33,0,2.0,15.666666666666666
36,16,0,9,-8,-18,33,0,2.3333333333333335,15.333333333333334
37,17,0,9,-7,-18,33,0,1.0,17.0
38,18,0,9,-6,-18,33,0,2.0,15.666666666666666
39,19,0,9,-5,-18,33,0,1.0,17.333333333333332
40,20,0,9,-4,-18,33,0,1.6666666666666667,16.333333333333332
41,21,0,9,-3,-18,33,0,1.3333333333333333,16.333333333333332
42,22,0,9,-2,-18,33,0,2.6666666666666665,14.666666666666666
43,23,0,9,-1,-18,33,0,1.3333333333333333,17.0
44,24,0,9,0,-18,33,0,1.0,17.0
45,25,0,9,1,-18,33,0,1.0,17.333333333333332
46,26,0,9,2,-18,33,0,1.6666666666666667,16.333333333333332
47,27,0,9,3,-18,33,0,2.0,16.0
48,28,0,9,4,-18,33,0,1.0,17.333333333333332
49,29,0,9,5,-18,33,0,1.3333333333333333,16.666666666666668
50,30,0,9,6,-18,33,0,1.3333333333333333,16.666666666666668
51,31,0,9,7,-18,33,0,1.3333333333333333,16.666666666666668
52,32,0,9,8,-18,33,0,1.0,17.666666666666668
53,33,0,9,9,-18,33,0,1.3333333333333333,17.333333333333332
54,34,0,9,10,-18,33,0,1.3333333333333333,16.666666666666668
55,35,0,9,11,-18,33,0,1.0,17.666666666666668
56,36,0,9,12,-18,33,0,1.3333333333333333,17.333333333333332
57,37,0,9,13,-18,33,0,1.3333333333333333,17.0
58,38,0,9,14,-18,33,0,1.0,18.0
59,39,0,9,15,-18,33,0,-332.0,-321.3333333333333
60,40,0,9,16,-18,33,0,1.0,17.666666666666668
61,41,0,9,17,-18,33,0,2.0,16.0
62,42,0,9,18,-18,33,0,1.0,17.0
63,43,0,9,19,-18,33,0,1.0,18.333333333333332
64,15,0,12,-12,-18,33,0,2.0,15.666666666666666
65,16,0,12,-11,-18,33,0,2.0,15.0
66,17,0,12,-10,-18,33,0,2.0,15.666666666666666
67,18,0,12,-9,-18,33,0,2.0,15.666666666666666
68,19,0,12,-8,-18,33,0,1.6666666666666667,16.333333333333332
69,20,0,12,-7,-18,33,0,1.0,17.666666666666668
70,21,0,12,-6,-18,33,0,2.0,16.0
71,22,0,12,-5,-18,33,0,1.6666666666666667,16.333333333333332
72,23,0,12,-4,-18,33,0,1.3333333333333333,17.333333333333332
73,24,0,12,-3,-18,33,0,1.3333333333333333,17.0
74,25,0,12,-2,-18,33,0,1.3333333333333333,16.666666666666668
75,26,0,12,-1,-18,33,0,1.0,17.333333333333332
76,27,0,12,0,-18,33,0,1.6666666666666667,16.666666666666668
77,28,0,12,1,-18,33,0,1.3333333333333333,16.333333333333332
78,29,0,12,2,-18,33,0,1.6666666666666667,16.0
79,30,0,12,3,-18,33,0,1.6666666666666667,16.666666666666668
80,31,0,12,4,-18,33,0,1.3333333333333333,17.333333333333332
81,32,0,12,5,-18,33,0,1.6666666666666667,16.666666666666668
82,33,0,12,6,-18,33,0,1.3333333333333333,17.0
83,34,0,12,7,-18,33,0,1.3333333333333333,17.333333333333332
84,35,0,12,8,-18,33,0,1.3333333333333333,17.333333333333332
85,36,0,12,9,-18,33,0,1.3333333333333333,16.333333333333332
86,37,0,12,10,-18,33,0,1.0,17.333333333333332
87,38,0,12,11,-18,33,0,1.3333333333333333,17.0
88,39,0,12,12,-18,33,0,1.0,18.0
89,40,0,12,13,-18,33,0,1.3333333333333333,16.666666666666668
90,41,0,12,14,-18,33,0,1.0,17.666666666666668
91,42,0,12,15,-18,33,0,1.6666666666666667,16.333333333333332
92,43,0,12,16,-18,33,0,2.3333333333333335,15.0
93,44,0,12,17,-18,33,0,1.0,18.0
94,45,0,12,18,-18,33,0,1.6666666666666667,16.666666666666668
95,46,0,12,19,-18,33,0,1.3333333333333333,17.666666666666668
96,6,3,0,-12,-18,33,0,2.3333333333333335,14.666666666666666
97,7,3,0,-11,-18,33,0,2.0,15.666666666666666
98,8,3,0,-10,-18,33,0,2.3333333333333335,15.666666666666666
99,9,3,0,-9,-18,33,0,2.0,15.333333333333334
100,10,3,0,-8,-18,33,0,1.6666666666666667,16.0
101,11,3,0,-7,-18,33,0,2.6666666666666665,15.0
102,12,3,0,-6,-18,33,0,1.6666666666666667,16.333333333333332
103,13,3,0,-5,-18,33,0,1.6666666666666667,16.333333333333332
104,14,3,0,-4,-18,33,0,1.0,17.0
105,15,3,0,-3,-18,33,0,2.3333333333333335,15.333333333333334
106,16,3,0,-2,-18,33,0,1.6666666666666667,16.333333333333332
107,17,3,0,-1,-18,33,0,1.3333333333333333,17.333333333333332
108,18,3,0,0,-18,33,0,1.3333333333333333,16.666666666666668
109,19,3,0,1,-18,33,0,-332.3333333333333,-321.3333333333333
110,20,3,0,2,-18,33,0,1.0,17.666666666666668
111,21,3,0,3,-18,33,0,1.3333333333333333,16.666666666666668
112,22,3,0,4,-18,33,0,1.3333333333333333,17.0
113,23,3,0,5,-18,33,0,1.3333333333333333,17.333333333333332
114,24,3,0,6,-18,33,0,1.0,17.333333333333332
115,25,3,0,7,-18,33,0,1.0,18.0
116,26,3,0,8,-18,33,0,1.6666666666666667,17.0
117,27,3,0,9,-18,33,0,1.0,17.0
118,28,3,0,10,-18,33,0,1.6666666666666667,16.666666666666668
119,29,3,0,11,-18,33,0,1.3333333333333333,17.333333333333332
120,30,3,0,12,-18,33,0,1.0,18.0
121,31,3,0,13,-18,33,0,1.0,17.333333333333332
122,32,3,0,14,-18,33,0,1.0,17.666666666666668
123,33,3,0,15,-18,33,0,1.0,17.333333333333332
124,34,3,0,16,-18,33,0,2.0,15.666666666666666
125,35,3,0,17,-18,33,0,1.3333333333333333,17.333333333333332
126,36,3,0,18,-18,33,0,1.0,17.666666666666668
127,37,3,0,19,-18,33,0,1.0,17.333333333333332
128,15,3,9,-12,-18,33,0,2.0,15.0
129,16,3,9,-11,-18,33,0,2.0,15.333333333333334
