Index,TotalGain,LNA,TIA,PGA,ATTN,LNA1,LNA2,EVM_PCT,EVM_SNR
0,3,0,0,-12,-18,33,0,2.0,15.666666666666666
1,4,0,0,-11,-18,33,0,1.3333333333333333,16.666666666666668
2,5,0,0,-10,-18,33,0,1.6666666666666667,16.333333333333332
3,6,0,0,-9,-18,33,0,1.3333333333333333,17.0
4,7,0,0,-8,-18,33,0,1.0,18.0
5,8,0,0,-7,-18,33,0,1.0,19.0
6,9,0,0,-6,-18,33,0,1.0,19.0
7,10,0,0,-5,-18,33,0,0.3333333333333333,19.666666666666668
8,11,0,0,-4,-18,33,0,0.0,20.333333333333332
9,12,0,0,-3,-18,33,0,0.3333333333333333,20.333333333333332
10,13,0,0,-2,-18,33,0,0.0,20.666666666666668
11,14,0,0,-1,-18,33,0,0.6666666666666666,19.0
12,15,0,0,0,-18,33,0,0.3333333333333333,20.0
13,16,0,0,1,-18,33,0,0.0,20.333333333333332
14,17,0,0,2,-18,33,0,0.0,21.0
15,18,0,0,3,-18,33,0,-333.0,-318.6666666666667
16,19,0,0,4,-18,33,0,0.0,21.333333333333332
17,20,0,0,5,-18,33,0,0.0,22.0
18,21,0,0,6,-18,33,0,0.0,21.666666666666668
19,22,0,0,7,-18,33,0,0.0,21.0
20,23,0,0,8,-18,33,0,0.0,21.666666666666668
21,24,0,0,9,-18,33,0,0.0,21.333333333333332
22,25,0,0,10,-18,33,0,0.0,21.666666666666668
23,26,0,0,11,-18,33,0,0.0,21.666666666666668
24,27,0,0,12,-18,33,0,0.0,22.0
25,28,0,0,13,-18,33,0,0.0,21.0
26,29,0,0,14,-18,33,0,-333.0,-318.6666666666667
27,30,0,0,15,-18,33,0,0.0,21.333333333333332
28,31,0,0,16,-18,33,0,0.0,22.0
29,32,0,0,17,-18,33,0,-333.0,-318.3333333333333
30,33,0,0,18,-18,33,0,0.0,21.666666666666668
31,34,0,0,19,-18,33,0,0.0,21.666666666666668
32,12,0,9,-12,-18,33,0,1.0,17.666666666666668
33,13,0,9,-11,-18,33,0,1.0,18.333333333333332
34,14,0,9,-10,-18,33,0,1.0,18.0
35,15,0,9,-9,-18,33,0,0.6666666666666666,19.0
36,16,0,9,-8,-18,33,0,0.3333333333333333,19.666666666666668
37,17,0,9,-7,-18,33,0,0.6666666666666666,19.666666666666668
38,18,0,9,-6,-18,33,0,0.0,20.333333333333332
39,19,0,9,-5,-18,33,0,0.3333333333333333,20.0
40,20,0,9,-4,-18,33,0,0.0,21.0
41,21,0,9,-3,-18,33,0,0.6666666666666666,19.333333333333332
42,22,0,9,-2,-18,33,0,0.0,21.666666666666668
43,23,0,9,-1,-18,33,0,0.0,21.333333333333332
44,24,0,9,0,-18,33,0,0.0,20.0
45,25,0,9,1,-18,33,0,0.0,21.666666666666668
46,26,0,9,2,-18,33,0,0.0,21.333333333333332
47,27,0,9,3,-18,33,0,0.0,21.666666666666668
48,28,0,9,4,-18,33,0,0.0,22.0
49,29,0,9,5,-18,33,0,0.0,22.0
50,30,0,9,6,-18,33,0,0.0,21.333333333333332
51,31,0,9,7,-18,33,0,0.0,22.0
52,32,0,9,8,-18,33,0,0.0,21.333333333333332
53,33,0,9,9,-18,33,0,0.0,21.333333333333332
54,34,0,9,10,-18,33,0,0.0,21.333333333333332
55,35,0,9,11,-18,33,0,0.0,21.666666666666668
56,36,0,9,12,-18,33,0,0.0,21.0
57,37,0,9,13,-18,33,0,0.0,21.666666666666668
58,38,0,9,14,-18,33,0,0.0,22.333333333333332
59,39,0,9,15,-18,33,0,0.0,22.333333333333332
60,40,0,9,16,-18,33,0,0.0,22.333333333333332
61,41,0,9,17,-18,33,0,0.0,21.0
62,42,0,9,18,-18,33,0,0.0,21.666666666666668
63,43,0,9,19,-18,33,0,0.0,22.666666666666668
64,15,0,12,-12,-18,33,0,0.6666666666666666,19.333333333333332
65,16,0,12,-11,-18,33,0,0.0,20.0
66,17,0,12,-10,-18,33,0,0.6666666666666666,19.333333333333332
67,18,0,12,-9,-18,33,0,0.0,20.333333333333332
68,19,0,12,-8,-18,33,0,0.0,20.0
69,20,0,12,-7,-18,33,0,0.0,21.333333333333332
70,21,0,12,-6,-18,33,0,0.0,20.666666666666668
71,22,0,12,-5,-18,33,0,0.0,21.333333333333332
72,23,0,12,-4,-18,33,0,0.0,21.0
73,24,0,12,-3,-18,33,0,0.0,21.333333333333332
74,25,0,12,-2,-18,33,0,0.0,21.333333333333332
75,26,0,12,-1,-18,33,0,0.0,22.333333333333332
76,27,0,12,0,-18,33,0,0.0,22.0
77,28,0,12,1,-18,33,0,0.0,20.666666666666668
78,29,0,12,2,-18,33,0,0.0,22.666666666666668
79,30,0,12,3,-18,33,0,0.0,21.333333333333332
80,31,0,12,4,-18,33,0,0.0,22.0
81,32,0,12,5,-18,33,0,0.0,22.666666666666668
82,33,0,12,6,-18,33,0,0.3333333333333333,20.333333333333332
83,34,0,12,7,-18,33,0,0.0,22.666666666666668
84,35,0,12,8,-18,33,0,0.0,22.666666666666668
85,36,0,12,9,-18,33,0,0.0,23.0
86,37,0,12,10,-18,33,0,0.0,22.666666666666668
87,38,0,12,11,-18,33,0,0.0,21.333333333333332
88,39,0,12,12,-18,33,0,0.0,21.333333333333332
89,40,0,12,13,-18,33,0,0.0,22.666666666666668
90,41,0,12,14,-18,33,0,0.3333333333333333,20.333333333333332
91,42,0,12,15,-18,33,0,0.0,22.333333333333332
92,43,0,12,16,-18,33,0,0.0,22.0
93,44,0,12,17,-18,33,0,0.0,21.666666666666668
94,45,0,12,18,-18,33,0,0.0,22.666666666666668
95,46,0,12,19,-18,33,0,0.0,21.333333333333332
96,6,3,0,-12,-18,33,0,1.0,17.666666666666668
97,7,3,0,-11,-18,33,0,-332.3333333333333,-320.3333333333333
98,8,3,0,-10,-18,33,0,1.0,19.0
99,9,3,0,-9,-18,33,0,0.6666666666666666,19.0
100,10,3,0,-8,-18,33,0,0.3333333333333333,19.666666666666668
101,11,3,0,-7,-18,33,0,0.0,20.333333333333332
102,12,3,0,-6,-18,33,0,0.3333333333333333,20.333333333333332
103,13,3,0,-5,-18,33,0,0.3333333333333333,20.333333333333332
104,14,3,0,-4,-18,33,0,0.3333333333333333,20.333333333333332
105,15,3,0,-3,-18,33,0,0.0,21.0
106,16,3,0,-2,-18,33,0,0.0,21.0
107,17,3,0,-1,-18,33,0,0.0,21.333333333333332
108,18,3,0,0,-18,33,0,0.3333333333333333,20.666666666666668
109,19,3,0,1,-18,33,0,0.0,22.333333333333332
110,20,3,0,2,-18,33,0,0.3333333333333333,20.666666666666668
111,21,3,0,3,-18,33,0,0.0,22.333333333333332
112,22,3,0,4,-18,33,0,0.0,22.0
113,23,3,0,5,-18,33,0,0.0,22.333333333333332
114,24,3,0,6,-18,33,0,0.0,22.333333333333332
115,25,3,0,7,-18,33,0,0.0,20.333333333333332
116,26,3,0,8,-18,33,0,0.0,22.0
117,27,3,0,9,-18,33,0,0.3333333333333333,20.666666666666668
118,28,3,0,10,-18,33,0,0.3333333333333333,20.666666666666668
119,29,3,0,11,-18,33,0,0.0,22.333333333333332
120,30,3,0,12,-18,33,0,0.0,22.0
121,31,3,0,13,-18,33,0,0.0,21.666666666666668
122,32,3,0,14,-18,33,0,0.0,22.333333333333332
123,33,3,0,15,-18,33,0,0.0,22.0
124,34,3,0,16,-18,33,0,0.0,22.666666666666668
125,35,3,0,17,-18,33,0,0.0,23.0
126,36,3,0,18,-18,33,0,0.0,22.333333333333332
127,37,3,0,19,-18,33,0,0.0,22.333333333333332
128,15,3,9,-12,-18,33,0,1.0,18.333333333333332
129,16,3,9,-11,-18,33,0,0.3333333333333333,19.666666666666668
130,17,3,9,-10,-18,33,0,0.0,20.333333333333332
131,18,3,9,-9,-18,33,0,0.0,20.0
132,19,3,9,-8,-18,33,0,0.0,21.0
133,20,3,9,-7,-18,33,0,0.0,20.666666666666668
134,21,3,9,-6,-18,33,0,0.0,20.333333333333332
135,22,3,9,-5,-18,33,0,0.0,22.0
136,23,3,9,-4,-18,33,0,0.0,21.666666666666668
137,24,3,9,-3,-18,33,0,0.0,22.333333333333332
138,25,3,9,-2,-18,33,0,0.0,21.333333333333332
139,26,3,9,-1,-18,33,0,0.0,21.666666666666668
140,27,3,9,0,-18,33,0,0.0,21.666666666666668
141,28,3,9,1,-18,33,0,0.0,22.666666666666668
142,29,3,9,2,-18,33,0,0.0,21.0
143,30,3,9,3,-18,33,0,0.0,23.0
144,31,3,9,4,-18,33,0,0.0,22.333333333333332
145,32,3,9,5,-18,33,0,0.0,22.666666666666668
146,33,3,9,6,-18,33,0,0.0,21.666666666666668
147,34,3,9,7,-18,33,0,0.0,22.666666666666668
148,35,3,9,8,-18,33,0,0.0,22.0
149,36,3,9,9,-18,33,0,0.0,21.666666666666668
150,37,3,9,10,-18,33,0,0.0,22.333333333333332
151,38,3,9,11,-18,33,0,0.0,23.0
152,39,3,9,12,-18,33,0,0.0,21.666666666666668
153,40,3,9,13,-18,33,0,0.0,22.0
154,41,3,9,14,-18,33,0,0.0,22.333333333333332
155,42,3,9,15,-18,33,0,0.0,21.333333333333332
156,43,3,9,16,-18,33,0,-333.0,-318.6666666666667
157,44,3,9,17,-18,33,0,0.0,22.666666666666668
158,45,3,9,18,-18,33,0,0.0,22.333333333333332
159,46,3,9,19,-18,33,0,-333.0,-317.6666666666667
160,18,3,12,-12,-18,33,0,0.0,20.0
161,19,3,12,-11,-18,33,0,0.0,20.666666666666668
162,20,3,12,-10,-18,33,0,0.0,20.666666666666668
163,21,3,12,-9,-18,33,0,0.0,21.333333333333332
164,22,3,12,-8,-18,33,0,0.0,21.333333333333332
165,23,3,12,-7,-18,33,0,0.0,21.666666666666668
166,24,3,12,-6,-18,33,0,0.0,21.333333333333332
167,25,3,12,-5,-18,33,0,0.3333333333333333,20.0
168,26,3,12,-4,-18,33,0,0.0,22.0
169,27,3,12,-3,-18,33,0,0.0,22.666666666666668
170,28,3,12,-2,-18,33,0,0.0,22.0
171,29,3,12,-1,-18,33,0,0.0,22.0
172,30,3,12,0,-18,33,0,0.0,22.666666666666668
173,31,3,12,1,-18,33,0,0.0,22.333333333333332
174,32,3,12,2,-18,33,0,0.0,22.666666666666668
175,33,3,12,3,-18,33,0,0.0,22.333333333333332
176,34,3,12,4,-18,33,0,0.0,21.666666666666668
177,35,3,12,5,-18,33,0,0.0,22.0
178,36,3,12,6,-18,33,0,-333.0,-317.6666666666667
179,37,3,12,7,-18,33,0,0.0,21.666666666666668
180,38,3,12,8,-18,33,0,0.3333333333333333,21.0
181,39,3,12,9,-18,33,0,0.0,22.0
182,40,3,12,10,-18,33,0,0.0,22.666666666666668
183,41,3,12,11,-18,33,0,-333.0,-317.6666666666667
184,42,3,12,12,-18,33,0,0.0,22.666666666666668
185,43,3,12,13,-18,33,0,0.0,22.0
186,44,3,12,14,-18,33,0,0.0,22.666666666666668
187,45,3,12,15,-18,33,0,0.0,21.666666666666668
188,46,3,12,16,-18,33,0,0.3333333333333333,21.0
189,47,3,12,17,-18,33,0,0.0,23.0
190,48,3,12,18,-18,33,0,0.0,23.0
191,49,3,12,19,-18,33,0,0.0,21.666666666666668
192,9,6,0,-12,-18,33,0,1.0,19.0
193,10,6,0,-11,-18,33,0,0.0,20.333333333333332
194,11,6,0,-10,-18,33,0,0.0,20.333333333333332
195,12,6,0,-9,-18,33,0,0.6666666666666666,19.0
196,13,6,0,-8,-18,33,0,0.0,21.0
197,14,6,0,-7,-18,33,0,0.0,20.666666666666668
198,15,6,0,-6,-18,33,0,0.0,21.0
199,16,6,0,-5,-18,33,0,0.0,22.0
200,17,6,0,-4,-18,33,0,0.0,21.666666666666668
201,18,6,0,-3,-18,33,0,0.0,22.0
202,19,6,0,-2,-18,33,0,-333.0,-318.6666666666667
203,20,6,0,-1,-18,33,0,0.0,23.0
204,21,6,0,0,-18,33,0,0.0,22.333333333333332
205,22,6,0,1,-18,33,0,0.0,22.666666666666668
206,23,6,0,2,-18,33,0,0.0,21.666666666666668
207,24,6,0,3,-18,33,0,0.0,22.666666666666668
208,25,6,0,4,-18,33,0,-333.0,-318.3333333333333
209,26,6,0,5,-18,33,0,0.0,22.666666666666668
210,27,6,0,6,-18,33,0,0.0,22.333333333333332
211,28,6,0,7,-18,33,0,0.0,20.666666666666668
212,29,6,0,8,-18,33,0,0.0,22.333333333333332
213,30,6,0,9,-18,33,0,0.0,23.333333333333332
214,31,6,0,10,-18,33,0,0.0,23.333333333333332
215,32,6,0,11,-18,33,0,0.0,22.666666666666668
216,33,6,0,12,-18,33,0,0.0,21.666666666666668
217,34,6,0,13,-18,33,0,0.0,23.0
218,35,6,0,14,-18,33,0,0.0,22.0
219,36,6,0,15,-18,33,0,0.0,22.666666666666668
220,37,6,0,16,-18,33,0,0.0,21.666666666666668
221,38,6,0,17,-18,33,0,0.0,22.333333333333332
222,39,6,0,18,-18,33,0,0.0,23.333333333333332
223,40,6,0,19,-18,33,0,0.0,21.666666666666668
224,18,6,9,-12,-18,33,0,0.3333333333333333,20.0
225,19,6,9,-11,-18,33,0,0.0,20.333333333333332
226,20,6,9,-10,-18,33,0,0.3333333333333333,21.0
227,21,6,9,-9,-18,33,0,0.0,22.0
228,22,6,9,-8,-18,33,0,0.0,20.666666666666668
229,23,6,9,-7,-18,33,0,0.0,21.333333333333332
230,24,6,9,-6,-18,33,0,0.0,21.666666666666668
231,25,6,9,-5,-18,33,0,0.0,22.666666666666668
232,26,6,9,-4,-18,33,0,0.0,22.333333333333332
233,27,6,9,-3,-18,33,0,0.0,21.333333333333332
234,28,6,9,-2,-18,33,0,0.0,22.0
235,29,6,9,-1,-18,33,0,0.0,23.0
236,30,6,9,0,-18,33,0,0.0,22.666666666666668
237,31,6,9,1,-18,33,0,0.0,22.333333333333332
238,32,6,9,2,-18,33,0,0.0,20.333333333333332
239,33,6,9,3,-18,33,0,0.0,23.0
240,34,6,9,4,-18,33,0,0.0,23.0
241,35,6,9,5,-18,33,0,0.0,22.0
242,36,6,9,6,-18,33,0,0.0,21.666666666666668
243,37,6,9,7,-18,33,0,0.0,22.333333333333332
244,38,6,9,8,-18,33,0,-333.0,-318.6666666666667
245,39,6,9,9,-18,33,0,0.0,22.0
246,40,6,9,10,-18,33,0,0.0,23.333333333333332
247,41,6,9,11,-18,33,0,0.0,22.666666666666668
248,42,6,9,12,-18,33,0,0.0,22.666666666666668
249,43,6,9,13,-18,33,0,0.0,22.333333333333332
250,44,6,9,14,-18,33,0,0.0,22.666666666666668
251,45,6,9,15,-18,33,0,0.0,22.333333333333332
252,46,6,9,16,-18,33,0,0.0,22.666666666666668
253,47,6,9,17,-18,33,0,0.0,22.0
254,48,6,9,18,-18,33,0,0.0,22.333333333333332
255,49,6,9,19,-18,33,0,0.0,22.666666666666668
256,21,6,12,-12,-18,33,0,0.0,21.333333333333332
257,22,6,12,-11,-18,33,0,0.3333333333333333,20.666666666666668
258,23,6,12,-10,-18,33,0,0.0,21.666666666666668
259,24,6,12,-9,-18,33,0,0.0,22.0
260,25,6,12,-8,-18,33,0,0.0,21.666666666666668
261,26,6,12,-7,-18,33,0,0.0,20.666666666666668
262,27,6,12,-6,-18,33,0,0.0,22.666666666666668
263,28,6,12,-5,-18,33,0,0.0,23.333333333333332
264,29,6,12,-4,-18,33,0,0.3333333333333333,21.666666666666668
265,30,6,12,-3,-18,33,0,0.0,22.333333333333332
266,31,6,12,-2,-18,33,0,0.0,22.0
267,32,6,12,-1,-18,33,0,0.0,22.666666666666668
268,33,6,12,0,-18,33,0,0.0,22.666666666666668
269,34,6,12,1,-18,33,0,0.0,22.666666666666668
270,35,6,12,2,-18,33,0,0.0,23.0
271,36,6,12,3,-18,33,0,0.0,22.0
272,37,6,12,4,-18,33,0,0.0,22.666666666666668
273,38,6,12,5,-18,33,0,0.0,23.0
274,39,6,12,6,-18,33,0,0.0,22.333333333333332
