Index,TotalGain,LNA,TIA,PGA,ATTN,LNA1,LNA2,EVM_PCT,EVM_SNR
0,3,0,0,-12,-18,33,0,119.33333333333333,-338.3333333333333
1,4,0,0,-11,-18,33,0,-176.0,-669.6666666666666
2,5,0,0,-10,-18,33,0,685.6666666666666,-8.0
3,6,0,0,-9,-18,33,0,1074.6666666666667,-9.333333333333334
4,7,0,0,-8,-18,33,0,-512.6666666666666,-668.0
5,8,0,0,-7,-18,33,0,636.0,-7.333333333333333
6,9,0,0,-6,-18,33,0,471.6666666666667,-6.0
7,10,0,0,-5,-18,33,0,450.0,-5.666666666666667
8,11,0,0,-4,-18,33,0,1986.6666666666667,-10.333333333333334
9,12,0,0,-3,-18,33,0,4084.0,-9.666666666666666
10,13,0,0,-2,-18,33,0,-25.666666666666668,-337.0
11,14,0,0,-1,-18,33,0,298.6666666666667,-4.0
12,15,0,0,0,-18,33,0,589.0,-6.333333333333333
13,16,0,0,1,-18,33,0,286.6666666666667,-4.0
14,17,0,0,2,-18,33,0,165.66666666666666,-1.6666666666666667
15,18,0,0,3,-18,33,0,247.0,-3.0
16,19,0,0,4,-18,33,0,258.6666666666667,-3.6666666666666665
17,20,0,0,5,-18,33,0,-216.0,-334.0
18,21,0,0,6,-18,33,0,-195.66666666666666,-334.3333333333333
19,22,0,0,7,-18,33,0,123.0,-0.6666666666666666
20,23,0,0,8,-18,33,0,348.3333333333333,-3.3333333333333335
21,24,0,0,9,-18,33,0,259.0,-3.0
22,25,0,0,10,-18,33,0,97.33333333333333,0.0
23,26,0,0,11,-18,33,0,-240.33333333333334,-333.6666666666667
24,27,0,0,12,-18,33,0,119.66666666666667,-0.6666666666666666
25,28,0,0,13,-18,33,0,90.33333333333333,0.0
26,29,0,0,14,-18,33,0,126.66666666666667,-0.3333333333333333
27,30,0,0,15,-18,33,0,80.33333333333333,0.6666666666666666
28,31,0,0,16,-18,33,0,101.66666666666667,0.0
29,32,0,0,17,-18,33,0,72.0,1.0
30,33,0,0,18,-18,33,0,92.0,0.3333333333333333
31,34,0,0,19,-18,33,0,178.66666666666666,-1.3333333333333333
32,12,0,9,-12,-18,33,0,674.6666666666666,-7.666666666666667
33,13,0,9,-11,-18,33,0,569.3333333333334,-7.0
34,14,0,9,-10,-18,33,0,576.6666666666666,-7.333333333333333
35,15,0,9,-9,-18,33,0,498.0,-6.0
36,16,0,9,-8,-18,33,0,1519.6666666666667,-8.333333333333334
37,17,0,9,-7,-18,33,0,1699.3333333333333,-9.0
38,18,0,9,-6,-18,33,0,322.3333333333333,-4.666666666666667
39,19,0,9,-5,-18,33,0,403.3333333333333,-4.666666666666667
40,20,0,9,-4,-18,33,0,68.66666666666667,-337.0
41,21,0,9,-3,-18,33,0,233.33333333333334,-3.0
42,22,0,9,-2,-18,33,0,161.66666666666666,-1.3333333333333333
43,23,0,9,-1,-18,33,0,527.6666666666666,-5.666666666666667
44,24,0,9,0,-18,33,0,127.33333333333333,-0.6666666666666666
45,25,0,9,1,-18,33,0,167.66666666666666,-1.6666666666666667
46,26,0,9,2,-18,33,0,190.0,-1.6666666666666667
47,27,0,9,3,-18,33,0,113.33333333333333,0.0
48,28,0,9,4,-18,33,0,80.33333333333333,0.6666666666666666
49,29,0,9,5,-18,33,0,93.33333333333333,0.6666666666666666
50,30,0,9,6,-18,33,0,102.33333333333333,0.0
51,31,0,9,7,-18,33,0,196.0,-1.6666666666666667
52,32,0,9,8,-18,33,0,98.33333333333333,0.0
