Index,TotalGain,LNA,TIA,PGA,ATTN,LNA1,LNA2,EVM_PCT,EVM_SNR
0,3,0,0,-12,-18,33,0,23.333333333333332,5.666666666666667
1,4,0,0,-11,-18,33,0,20.666666666666668,6.333333333333333
2,5,0,0,-10,-18,33,0,15.0,7.666666666666667
3,6,0,0,-9,-18,33,0,11.0,9.0
4,7,0,0,-8,-18,33,0,9.666666666666666,9.333333333333334
5,8,0,0,-7,-18,33,0,8.333333333333334,10.0
6,9,0,0,-6,-18,33,0,6.666666666666667,11.0
7,10,0,0,-5,-18,33,0,6.0,11.0
8,11,0,0,-4,-18,33,0,4.666666666666667,12.333333333333334
9,12,0,0,-3,-18,33,0,4.333333333333333,12.666666666666666
10,13,0,0,-2,-18,33,0,3.6666666666666665,13.0
11,14,0,0,-1,-18,33,0,3.0,14.0
12,15,0,0,0,-18,33,0,3.0,14.0
13,16,0,0,1,-18,33,0,2.3333333333333335,14.666666666666666
14,17,0,0,2,-18,33,0,2.3333333333333335,15.0
15,18,0,0,3,-18,33,0,2.0,15.333333333333334
16,19,0,0,4,-18,33,0,2.3333333333333335,15.333333333333334
17,20,0,0,5,-18,33,0,2.3333333333333335,15.333333333333334
18,21,0,0,6,-18,33,0,-331.6666666666667,-322.6666666666667
19,22,0,0,7,-18,33,0,1.0,17.0
20,23,0,0,8,-18,33,0,1.6666666666666667,16.333333333333332
21,24,0,0,9,-18,33,0,1.6666666666666667,16.333333333333332
22,25,0,0,10,-18,33,0,1.3333333333333333,16.666666666666668
23,26,0,0,11,-18,33,0,1.6666666666666667,16.333333333333332
24,27,0,0,12,-18,33,0,1.0,17.333333333333332
25,28,0,0,13,-18,33,0,1.3333333333333333,17.0
26,29,0,0,14,-18,33,0,1.0,17.0
27,30,0,0,15,-18,33,0,1.0,17.0
28,31,0,0,16,-18,33,0,1.0,17.333333333333332
29,32,0,0,17,-18,33,0,1.3333333333333333,16.666666666666668
30,33,0,0,18,-18,33,0,1.3333333333333333,16.666666666666668
31,34,0,0,19,-18,33,0,1.3333333333333333,16.666666666666668
32,12,0,9,-12,-18,33,0,-323.0,-328.0
33,13,0,9,-11,-18,33,0,9.333333333333334,9.333333333333334
34,14,0,9,-10,-18,33,0,7.0,10.666666666666666
35,15,0,9,-9,-18,33,0,6.0,11.333333333333334
36,16,0,9,-8,-18,33,0,5.333333333333333,12.0
37,17,0,9,-7,-18,33,0,4.0,13.0
38,18,0,9,-6,-18,33,0,3.3333333333333335,13.666666666666666
