16,14,31.5,0,-18,0,-12,
17,14,31.5,0,-18,0,-11,
18,14,31.5,0,-18,2,-12,
19,14,31.5,0,-18,3,-12,
20,14,31.5,0,-18,0,-8,
21,14,31.5,0,-18,0,-7,
22,14,31.5,0,-12,0,-12,
23,14,31.5,0,-18,0,-5,
24,14,31.5,0,-18,1,-5,
25,14,31.5,0,-18,0,-3,
26,14,31.5,0,-12,0,-8,
27,14,31.5,0,-18,7,-8,
28,14,31.5,0,-18,0,0,
29,14,31.5,0,-12,3,-8,
30,14,31.5,0,-18,7,-5,
31,14,31.5,0,-18,11,-8,
32,14,31.5,0,-18,7,-3,
33,14,31.5,0,-18,13,-8,
34,14,31.5,0,-12,0,0,
35,14,31.5,0,-12,1,0,
36,14,31.5,0,-18,11,-3,
37,14,31.5,0,-12,3,0,
38,14,31.5,0,-18,13,-3,
39,14,31.5,0,-12,5,0,
40,14,31.5,0,-12,6,0,
41,14,31.5,0,-12,7,0,
42,14,31.5,0,-18,20,-6,
43,14,31.5,0,-12,9,0,
44,14,31.5,0,-12,10,0,
45,14,31.5,0,-12,11,0,
46,14,31.5,0,-12,12,0,
47,14,31.5,0,-12,13,0,
48,14,31.5,0,-12,14,0,
49,14,31.5,0,-18,27,-6,
50,14,31.5,0,-18,28,-6,
51,14,31.5,0,-12,17,0,
52,14,31.5,0,-12,18,0,
53,14,31.5,0,-12,19,0,
54,14,31.5,0,-12,20,0,
55,14,31.5,0,-12,21,0,
56,14,31.5,0,-12,23,-1,
57,14,31.5,0,-12,24,-1,
58,14,31.5,0,-12,25,-1,
59,14,31.5,0,-12,25,0,
60,14,31.5,0,-12,26,0,
61,14,31.5,0,-12,28,-1,
62,14,31.5,0,-12,29,-1,
63,14,31.5,0,-12,30,-1,
64,14,31.5,0,-12,30,0,
65,14,31.5,0,-6,25,0,
66,14,31.5,0,-6,26,0,
67,14,31.5,0,-6,27,0,
68,14,31.5,0,-6,28,0,
69,14,31.5,0,-6,29,0,
70,14,31.5,0,-6,30,0,
71,14,31.5,0,-6,31,0,
72,14,31.5,0,-6,32,0,
73,14,31.5,0,-6,33,0,
74,14,31.5,0,-6,34,0,
75,14,31.5,0,-6,35,0,
76,14,31.5,0,-6,36,0,
77,14,31.5,0,-6,37,0,
78,14,31.5,0,-6,38,0,
79,14,31.5,0,-6,39,0,
80,14,31.5,0,-6,40,0,
81,14,31.5,0,-6,41,0,
82,14,31.5,0,-6,42,0,
83,14,31.5,0,-6,43,0,
84,14,31.5,0,-6,44,0,
85,14,31.5,0,-6,45,0,
86,14,31.5,0,-6,46,0,
87,14,31.5,0,-6,47,0,
88,14,31.5,0,-6,48,0,
89,14,31.5,0,-6,49,0,
90,14,31.5,0,-6,50,0,
91,14,31.5,0,-6,51,0,
92,14,31.5,0,-6,52,0,
93,14,31.5,0,0,47,0,
94,14,31.5,0,0,48,0,
95,14,31.5,0,0,49,0,
96,14,31.5,0,0,50,0,
97,14,31.5,0,0,51,0,
98,14,31.5,0,0,52,0,
99,14,31.5,0,0,52,1,
100,14,31.5,0,0,52,2,
101,14,31.5,0,0,52,3,
102,14,31.5,0,0,52,4,
103,14,31.5,0,0,52,5,
104,14,31.5,0,0,52,6,
105,14,31.5,0,0,52,7,
106,14,31.5,0,0,52,8,
107,14,31.5,0,0,52,9,
108,14,31.5,0,0,52,10,
109,14,31.5,0,0,52,11,
110,14,31.5,0,0,52,12,
